SystemCodeNumber,Capacity,Occupancy,IsSpecialDay,QueueLength,Timestamp,OccupancyRate,VehicleType_bike,VehicleType_car,VehicleType_cycle,VehicleType_truck,TrafficLevel,DayOfWeek
BHMBCCMKT01,577,61,0,2,2016-10-04 07:59:42,0.10571923743500866,0,1,0,0,0,1
BHMBCCMKT01,577,64,0,2,2016-10-04 08:25:42,0.11091854419410745,0,1,0,0,1,1
BHMBCCMKT01,577,80,0,2,2016-10-04 08:59:42,0.1386481802426343,0,1,0,0,0,1
BHMBCCMKT01,577,107,0,3,2016-10-04 09:32:46,0.1854419410745234,0,1,0,0,0,1
BHMBCCMKT01,577,150,0,3,2016-10-04 09:59:48,0.25996533795493937,0,1,0,0,0,1
BHMBCCMKT01,577,177,0,4,2016-10-04 10:26:49,0.30675909878682844,0,1,0,0,0,1
BHMBCCMKT01,577,219,0,6,2016-10-04 10:59:48,0.37954939341421146,1,0,0,0,1,1
BHMBCCMKT01,577,247,0,7,2016-10-04 11:25:47,0.42807625649913345,0,1,0,0,1,1
BHMBCCMKT01,577,259,0,6,2016-10-04 11:59:44,0.4488734835355286,0,1,0,0,1,1
BHMBCCMKT01,577,266,0,10,2016-10-04 12:29:45,0.4610051993067591,1,0,0,0,2,1
BHMBCCMKT01,577,269,0,9,2016-10-04 13:02:48,0.4662045060658579,0,1,0,0,2,1
BHMBCCMKT01,577,263,0,9,2016-10-04 13:29:45,0.4558058925476603,0,1,0,0,2,1
BHMBCCMKT01,577,238,0,5,2016-10-04 14:02:47,0.4124783362218371,0,1,0,0,1,1
BHMBCCMKT01,577,215,0,4,2016-10-04 14:29:49,0.37261698440207974,0,1,0,0,1,1
BHMBCCMKT01,577,192,0,4,2016-10-04 14:57:13,0.3327556325823224,0,1,0,0,1,1
BHMBCCMKT01,577,165,0,3,2016-10-04 15:30:14,0.28596187175043325,0,0,1,0,1,1
BHMBCCMKT01,577,162,0,2,2016-10-04 16:04:12,0.2807625649913345,0,1,0,0,0,1
BHMBCCMKT01,577,143,0,2,2016-10-04 16:31:14,0.24783362218370883,0,1,0,0,0,1
BHMBCCMKT01,577,54,0,1,2016-10-05 07:57:17,0.09358752166377816,0,0,1,0,0,2
BHMBCCMKT01,577,59,0,2,2016-10-05 08:30:15,0.1022530329289428,1,0,0,0,1,2
BHMBCCMKT01,577,71,0,3,2016-10-05 09:04:19,0.12305025996533796,0,1,0,0,0,2
BHMBCCMKT01,577,83,0,2,2016-10-05 09:30:15,0.1438474870017331,1,0,0,0,0,2
BHMBCCMKT01,577,114,0,3,2016-10-05 10:04:15,0.1975736568457539,0,1,0,0,0,2
BHMBCCMKT01,577,128,0,4,2016-10-05 10:30:17,0.2218370883882149,1,0,0,0,1,2
BHMBCCMKT01,577,148,0,6,2016-10-05 11:04:19,0.2564991334488735,0,0,1,0,1,2
BHMBCCMKT01,577,162,0,6,2016-10-05 11:30:18,0.2807625649913345,1,0,0,0,1,2
BHMBCCMKT01,577,178,0,9,2016-10-05 12:04:14,0.30849220103986136,0,0,0,1,2,2
BHMBCCMKT01,577,183,0,7,2016-10-05 12:30:16,0.317157712305026,0,1,0,0,1,2
BHMBCCMKT01,577,175,0,9,2016-10-05 12:57:15,0.30329289428076256,0,0,0,1,2,2
BHMBCCMKT01,577,179,0,8,2016-10-05 13:30:19,0.31022530329289427,0,1,0,0,2,2
BHMBCCMKT01,577,174,0,6,2016-10-05 13:57:20,0.30155979202772965,1,0,0,0,1,2
BHMBCCMKT01,577,158,0,5,2016-10-05 14:30:17,0.2738301559792028,0,1,0,0,1,2
BHMBCCMKT01,577,145,0,5,2016-10-05 14:57:19,0.2512998266897747,0,1,0,0,1,2
BHMBCCMKT01,577,129,0,2,2016-10-05 15:30:15,0.22357019064124783,0,1,0,0,0,2
BHMBCCMKT01,577,121,0,3,2016-10-05 16:04:18,0.2097053726169844,0,0,1,0,0,2
BHMBCCMKT01,577,114,0,2,2016-10-05 16:30:17,0.1975736568457539,0,1,0,0,1,2
BHMBCCMKT01,577,58,0,2,2016-10-06 07:57:25,0.10051993067590988,1,0,0,0,1,3
BHMBCCMKT01,577,63,0,1,2016-10-06 08:30:20,0.10918544194107452,0,1,0,0,0,3
BHMBCCMKT01,577,70,0,1,2016-10-06 08:57:22,0.12131715771230503,0,1,0,0,0,3
BHMBCCMKT01,577,95,0,3,2016-10-06 09:30:20,0.16464471403812825,0,1,0,0,1,3
BHMBCCMKT01,577,135,0,4,2016-10-06 10:03:20,0.2339688041594454,0,1,0,0,0,3
BHMBCCMKT01,577,160,0,7,2016-10-06 10:30:20,0.2772963604852686,0,1,0,0,2,3
BHMBCCMKT01,577,177,0,5,2016-10-06 10:57:20,0.30675909878682844,0,1,0,0,1,3
BHMBCCMKT01,577,191,0,6,2016-10-06 11:30:22,0.3310225303292894,0,1,0,0,1,3
BHMBCCMKT01,577,199,0,9,2016-10-06 12:04:24,0.34488734835355284,0,1,0,0,2,3
BHMBCCMKT01,577,206,0,9,2016-10-06 12:30:24,0.35701906412478335,0,0,0,1,2,3
BHMBCCMKT01,577,198,0,9,2016-10-06 12:57:21,0.3431542461005199,0,1,0,0,2,3
BHMBCCMKT01,577,208,0,9,2016-10-06 13:30:21,0.36048526863084923,0,1,0,0,2,3
BHMBCCMKT01,577,200,0,6,2016-10-06 13:57:22,0.3466204506065858,0,1,0,0,1,3
BHMBCCMKT01,577,175,0,4,2016-10-06 14:30:23,0.30329289428076256,0,1,0,0,1,3
BHMBCCMKT01,577,158,0,3,2016-10-06 15:04:22,0.2738301559792028,1,0,0,0,0,3
BHMBCCMKT01,577,153,0,3,2016-10-06 15:31:22,0.2651646447140381,0,1,0,0,1,3
BHMBCCMKT01,577,135,0,2,2016-10-06 16:04:23,0.2339688041594454,0,0,1,0,0,3
BHMBCCMKT01,577,129,0,2,2016-10-06 16:30:27,0.22357019064124783,0,0,0,1,0,3
BHMBCCMKT01,577,58,0,2,2016-10-07 08:03:27,0.10051993067590988,0,1,0,0,0,4
BHMBCCMKT01,577,61,0,2,2016-10-07 08:30:27,0.10571923743500866,0,1,0,0,0,4
BHMBCCMKT01,577,75,0,3,2016-10-07 09:04:13,0.12998266897746968,0,1,0,0,1,4
BHMBCCMKT01,577,103,0,2,2016-10-07 09:30:27,0.17850953206239167,0,1,0,0,0,4
BHMBCCMKT01,577,128,0,3,2016-10-07 09:57:27,0.2218370883882149,0,1,0,0,0,4
